Coin;Price;24h Volume;Exchanges;Market Capitalization
"
Tether
USDT";$0.999601;$33,759,485,723;343;$81,250,781,328
"
USD Coin
USDC";$0.999421;$2,158,941,804;276;$51,888,592,110
"
Binance USD
BUSD";$1.00;$2,363,256,571;103;$17,554,754,057
"
TerraUSD
UST";$1.00;$392,668,843;39;$16,090,280,324
"
Dai
DAI";$0.998871;$149,671,707;186;$9,236,829,195
"
Frax
FRAX";$0.999096;$19,215,997;19;$2,785,617,630
"
Magic Internet Money
MIM";$0.990492;$24,489,095;30;$2,753,335,466
"
TrueUSD
TUSD";$0.999913;$96,446,551;70;$1,359,775,875
"
Pax Dollar
USDP";$0.999491;$3,541,598;32;$960,675,575
"
Neutrino USD
USDN";$0.991336;$6,375,609;9;$788,942,543
"
Fei USD
FEI";$0.998028;$2,585,204;7;$556,230,867
"
Tether Gold
XAUT";$1,989.78;722,397 $;7;$490,636,143
"
Liquity USD
LUSD";$1.00;320,882 $;7;$470,730,583
"
HUSD
HUSD";$0.998961;$12,666,646;10;$281,618,393
"
MAI
MIMATIC";$1.00;$18,476,735;20;$279,670,426
"
Euro Tether
EURT";$1.10;$1,214,185;8;$226,021,200
"
Gemini Dollar
GUSD";$0.998711;767,785 $;23;$212,653,459
"
Alchemix USD
ALUSD";$0.996378;250,735 $;2;$192,502,734
"
XSGD
XSGD";$0.736262;$2,719,781;12;$163,306,950
"
USDX
USDX";$0.966695;782,199 $;2;$151,888,244
"
Origin Dollar
OUSD";$0.991990;265,125 $;2;$142,531,963
"
STASIS EURO
EURS";$1.10;$4,629,911;17;$135,954,657
"
flexUSD
FLEXUSD";$1.00;136,148 $;5;$132,800,347
"
sUSD
SUSD";$0.999966;$4,453,011;14;$106,242,188
"
agEUR
AGEUR";$1.10;$1,608,083;4;$96,830,447
"
Celo Dollar
CUSD";$0.995241;324,831 $;7;$80,753,872
"
mStable USD
MUSD";$0.999790;28,166 $;5;$73,185,483
"
Vai
VAI";$0.915317;49,936 $;6;$51,534,080
"
Bean
BEAN";$1.01;247,023 $;2;$45,378,072
"
sEUR
SEUR";$1.10;4,158 $;2;$43,229,301
"
USDK
USDK";$0.999031;$76,340,815;10;$42,443,830
"
Celo Euro
CEUR";$1.09;9,278 $;3;$42,249,460
"
TerraKRW
KRT";$0.00081460;4,816 $;6;$30,166,279
"
Reserve
RSV";$0.996747;92,224 $;8;$28,265,535
"
USDP Stablecoin
USDP";$0.989607;41,195 $;3;$26,241,870
"
Sperax USD
USDS";$1.00;246,685 $;1;$21,145,702
"
BiLira
TRYB";$0.066995;206,544 $;9;$20,644,084
"
sAUD
SAUD";$0.750373;?;1;$10,389,693
"
XIDR
XIDR";$0.00007485;146,948 $;3;$8,963,860
"
bitCNY
BITCNY";$0.157053;300,781 $;2;$6,420,404
"
Equilibrium EOSDT
EOSDT";$0.984920;?;3;$5,310,976
"
Parallel
PAR";$1.10;17,782 $;4;$2,459,299
"
Float Protocol: Float
FLOAT";$1.54;12,605 $;2;$2,404,702
"
DefiDollar
DUSD";$1.01;573 $;3;$1,767,194
"
Empty Set Dollar
ESD";$0.00889668;13,529 $;8;$1,227,147
"
Basis Cash
BAC";$0.01759786;99,479 $;7;960,575 $
"
ARTH
ARTH";$2.04;$93.85;1;896,040 $
"
BondAppetite USD
USDAP";$0.786061;$0.00;1;855,258 $
"
Dynamic Set Dollar
DSD";$0.00464318;28,400 $;4;630,971 $
"
Zasset zUSD
ZUSD";$0.893518;324 $;1;443,602 $
"
Statik
STATIK";$0.999141;27,768 $;3;310,332 $
"
Wault USD
WUSD";$0.932143;8,848 $;1;273,975 $
"
One Cash
ONC";$0.152727;14,211 $;2;270,187 $
"
Debase
DEBASE";$0.03497141;?;1;127,274 $
"
Basis Dollar
BSD";$0.00875161;41,383 $;2;$22,521.52
"
Stand Cash
SAC";$0.070876;1,984 $;2;$3,661.65
"
Vesta Stable
VST";$1.18;?;1;?
"
Stably USD
USDS";$0.947453;?;4;?
"
Qcash
QC";$0.139705;$80,998,400;4;?
"
TrueHKD
THKD";$0.137209;?;2;?
"
XDAI
XDAI";$1.00;118,816 $;4;?
"
unified Stable Dollar
USD";$1.00;?;1;?
"
bDollar
BDO";$0.01060653;281 $;4;?
"
Iron
IRON";$0.994717;834 $;3;?
"
Wrapped USD
WUSD";$0.616380;?;1;?
"
USD Open Dollar
USDO";$0.957205;27,799 $;3;?
"
Wrapped UST
UST";$0.999659;$4,960,217;15;?
"
Jarvis Synthetic Euro
JEUR";$1.10;11,998 $;3;?
"
Jarvis Synthetic British Pound
JGBP";$1.31;56,151 $;1;?
"
Jarvis Synthetic Swiss Franc
JCHF";$1.08;8,060 $;1;?
"
Malt Stablecoin
MALT";$0.000000000020;?;1;?
"
xDollar Stablecoin
XUSD";$1.04;$42.61;7;?
"
Iron BSC
IRON";$0.782475;108 $;5;?
"
Synth oUSD
OUSD";$0.566736;$45.57;2;?
"
JPY Coin
JPYC";$0.00798435;54,769 $;6;?
"
Coffin Dollar
COUSD";$0.409943;$0.491932;1;?
"
NZD Stablecoin
NZDS";$1.43;$0.00;1;?
"
Alpaca USD
AUSD";$0.987414;211 $;1;?
"
TOR
TOR";$0.998248;614,575 $;2;?
"
NuBits
USNBT";$0.02609478;?;1;?